soil_moisture,temperature,humidity,rainfall,water_needed
29.44606392482905,20.87974371,82.00274423,202.9355362,4
12.851182636936995,21.77046169,80.31964408,226.6555374,4
29.363912891054824,23.00445915,82.3207629,263.9642476,1
26.20773239299878,26.49109635,80.15836264,242.8640342,1
28.236236135835615,20.13017482,81.60487287,262.7173405,3
23.61311519614218,23.05804872,83.37011772,251.0549998,5
15.333693105308976,22.70883798,82.63941394,271.3248604,1
20.835640482532128,20.27774362,82.89408619,241.9741949,4
26.64065576840069,24.51588066,83.5352163,230.4462359,2
24.368852917432807,23.22397386,83.03322691,221.2091958,1
20.459145741082907,26.52723513,81.41753846,264.6148697,3
15.404600446017936,23.97898217,81.45061596,250.0832336,2
15.69649075752503,26.80079604,80.88684822,284.4364567,6
18.102299560975805,24.01497622,82.05687182,185.2773389,2
19.742522826826036,25.66585205,80.66385045,209.5869708,4
23.34511451117176,24.28209415,80.30025587,231.0863347,3
12.287843010348428,21.58711777,82.7883708,276.6552459,1
20.505529046999705,23.79391957,80.41817957,206.2611855,5
19.86297771132577,21.8652524,80.1923008,224.5550169,6
25.75100657263861,23.57943626,83.58760316,291.2986618,6
17.850955791197684,21.32504158,80.47476396,185.4974732,2
16.92544358289537,25.15745531,83.11713476,231.3843163,6
13.9285897742515,21.94766735,80.97384195,213.3560921,1
15.054079970805905,21.0525355,82.67839517,233.1075816,2
21.665501586766386,23.48381344,81.33265073,224.0581164,3
13.741746858175928,25.0756354,80.52389148,257.0038865,2
25.52548813642485,26.35927159,84.04403589,271.3586137,2
16.9004052999644,24.52922681,80.54498576,260.2634026,1
14.07087343441151,20.77576147,84.49774397,240.0810647,4
12.41872292580177,22.30157427,80.64416466,197.9791215,5
24.03853195047953,21.44653958,84.94375962,272.2017204,4
11.78666410407552,22.17931888,80.33127223,200.0882787,3
18.58080280678941,24.52783742,82.73685569,224.6757231,6
12.173006937040183,20.26707606,81.63895217,270.4417274,6
23.33402741040184,25.7354293,83.88266234,233.1321372,5
23.978828255346407,26.79533926,82.1480873,193.3473987,6
20.463412227529027,26.75754171,81.17734011,272.2999056,6
